WEEK,PRODUCT,CATEGORY,MANUFACTURER,BRAND,SUBCATEGORY,SIZE,UNITS,SALES,BASE_PRICE,PRICE,INVENTORY
1/17/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,12,7502.4,649,625.2,6
1/17/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,13,15861.17,1249,1220.09,4
1/17/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,28,23471.84,899,838.28,22
1/17/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,15860.44,899,834.76,4
1/17/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,25,15073.25,649,602.93,30
1/17/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,25,742.25,29.99,29.69,30
1/24/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,9,10363.59,1249,1151.51,13
1/24/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,18,10585.44,649,588.08,7
1/24/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,15,17967.75,1199,1197.85,16
1/24/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,18,21084.48,1199,1171.36,23
1/24/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4560.88,1249,1140.22,6
1/24/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,9,9330.57,1099,1036.73,45
1/24/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4602.88,1249,1150.72,4
1/24/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,18,513.18,29.99,28.51,27
1/24/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,4,3455.52,899,863.88,3
1/31/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,5,5975.15,1199,1195.03,24
1/31/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,6772.02,1249,1128.67,26
1/31/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,5,5959.15,1299,1191.83,13
1/31/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,20,590.2,29.99,29.51,14
1/31/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,6190.17,899,884.31,28
1/31/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,6,3619.8,649,603.3,6
1/31/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,17,10915.53,649,642.09,22
1/31/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,3,2678.43,899,892.81,0
1/31/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,18,21042.9,1199,1169.05,44
2/7/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,9,10250.19,1249,1138.91,33
2/7/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,8,8953.36,1199,1119.17,20
2/7/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,7,4155.76,649,593.68,16
2/7/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,389.76,29.99,27.84,14
2/7/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,27,22878.72,899,847.36,15
2/7/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,21,25019.61,1299,1191.41,41
2/7/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,27,797.31,29.99,29.53,14
2/7/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,27,32212.08,1199,1193.04,32
2/7/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,22,13567.4,649,616.7,3
2/14/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,13,7982,649,614,15
2/14/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,11,9690.34,899,880.94,32
2/14/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,20,565.8,29.99,28.29,21
2/14/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,387.52,29.99,27.68,7
2/14/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,6780.3,1249,1130.05,12
2/14/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,19,19503.88,1099,1026.52,38
2/14/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,407.4,29.99,29.1,11
2/14/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,0,0,899,827.51,6
2/14/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4951.88,1249,1237.97,14
2/21/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,23,22924.56,1099,996.72,19
2/21/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,17,20653.47,1249,1214.91,18
2/21/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,15,9467.4,649,631.16,6
2/21/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,7,202.09,29.99,28.87,0
2/21/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,20,24818.4,1299,1240.92,30
2/21/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,5772.48,899,824.64,24
2/21/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,8,10009.84,1299,1251.23,8
2/21/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,3,1767.33,649,589.11,12
2/21/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,10,287.4,29.99,28.74,18
2/28/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,9,9850.68,1099,1094.52,14
2/28/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,21,605.22,29.99,28.82,15
2/28/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,18,20816.46,1199,1156.47,16
2/28/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,6,3841.86,649,640.31,10
2/28/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,20,23025,1199,1151.25,8
2/28/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,10,8335.8,899,833.58,19
2/28/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,0,0,1099,1005.99,16
2/28/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,18,515.7,29.99,28.65,9
2/28/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,13,14325.87,1199,1101.99,30
3/7/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,18,22119.84,1249,1228.88,11
3/7/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,6,3881.4,649,646.9,2
3/7/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,13,14114.1,1099,1085.7,21
3/7/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,16150,899,850,3
3/7/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,5,2992.4,649,598.48,13
3/7/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,0,0,29.99,29.39,13
3/7/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,8,9610.72,1299,1201.34,5
3/7/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,9,253.98,29.99,28.22,15
3/7/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,6,5372.58,899,895.43,2
3/14/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,2,1211.1,649,605.55,18
3/14/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,22,19016.36,899,864.38,28
3/14/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,16,18264.32,1199,1141.52,7
3/14/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,13,7846.28,649,603.56,4
3/14/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,3,2442.45,899,814.15,9
3/14/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,12,14393.04,1249,1199.42,4
3/14/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,8,5036.32,649,629.54,15
3/14/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,5,6349.25,1299,1269.85,0
3/14/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,15,417.15,29.99,27.81,4
3/21/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,21,22567.44,1099,1074.64,5
3/21/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,8,9456.4,1299,1182.05,17
3/21/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,11,12859.66,1249,1169.06,13
3/21/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,5,145.5,29.99,29.1,23
3/21/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,14,17882.34,1299,1277.31,29
3/21/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,16,16337.6,1099,1021.1,28
3/21/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,16,15849.6,1099,990.6,3
3/21/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,0,0,1299,1251.27,5
3/21/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,13,8041.41,649,618.57,19
3/28/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,9,262.8,29.99,29.2,14
3/28/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,10,8743,899,874.3,34
3/28/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,7,7957.88,1199,1136.84,11
3/28/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4970.84,1249,1242.71,20
3/28/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,8,9547.04,1199,1193.38,19
3/28/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,29,36210.56,1299,1248.64,0
3/28/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,7,4195.66,649,599.38,32
3/28/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,2,1697.62,899,848.81,19
3/28/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,3,2976.21,1099,992.07,8
4/4/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,11,12675.19,1199,1152.29,5
4/4/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,8,5017.68,649,627.21,27
4/4/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,5765.34,899,823.62,34
4/4/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,11,11157.74,1099,1014.34,35
4/4/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,5,4417.15,899,883.43,6
4/4/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,19,21220.53,1199,1116.87,17
4/4/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,5,6196.7,1299,1239.34,9
4/4/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,16753.82,899,881.78,19
4/4/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,4,112.56,29.99,28.14,0
4/11/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,27,17073.72,649,632.36,10
4/11/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,17,20062.55,1299,1180.15,13
4/11/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,5,5036.35,1099,1007.27,14
4/11/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,12,353.04,29.99,29.42,16
4/11/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,6,5167.2,899,861.2,0
4/11/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,17,19689.91,1199,1158.23,1
4/11/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,8,8217.84,1099,1027.23,4
4/11/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,10,6046.6,649,604.66,31
4/11/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,12,13919.88,1199,1159.99,36
4/18/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,10,6380.5,649,638.05,8
4/18/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,6,7029.3,1299,1171.55,15
4/18/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,27,24093.18,899,892.34,26
4/18/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,16,469.76,29.99,29.36,11
4/18/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,4,2378.12,649,594.53,9
4/18/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,11,13335.08,1249,1212.28,9
4/18/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,9,10870.29,1299,1207.81,9
4/18/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,7,8121.82,1199,1160.26,32
4/18/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,4,4159.28,1099,1039.82,12
4/25/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,14,16873.36,1299,1205.24,9
4/25/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,14,14497.28,1099,1035.52,18
4/25/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,5763.31,899,823.33,22
4/25/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,9,10510.83,1249,1167.87,8
4/25/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,1,1192.63,1199,1192.63,16
4/25/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,8,222,29.99,27.75,3
4/25/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,14,16832.2,1249,1202.3,12
4/25/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,12,13075.44,1099,1089.62,16
4/25/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,5,2993.95,649,598.79,38
5/2/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,9,10680.12,1299,1186.68,2
5/2/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,11,12061.28,1099,1096.48,14
5/2/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,9,246.24,29.99,27.36,11
5/2/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,0,0,899,840.83,17
5/2/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,17,17240.04,1099,1014.12,34
5/2/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,0,0,1299,1281.14,18
5/2/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,6,7791.96,1299,1298.66,19
5/2/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,0,0,29.99,27.16,14
5/2/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,9,5609.88,649,623.32,47
5/9/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,5,5583.05,1199,1116.61,1
5/9/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,13,15501.85,1249,1192.45,16
5/9/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,12,12267.84,1099,1022.32,15
5/9/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,17,14922.09,899,877.77,17
5/9/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,18,21055.68,1299,1169.76,11
5/9/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,8,9072.4,1249,1134.05,1
5/9/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,8,4814.08,649,601.76,53
5/9/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,16464.64,899,866.56,5
5/9/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,10,12062.1,1249,1206.21,7
5/16/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,7240.92,1249,1206.82,21
5/16/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,2,2349.1,1299,1174.55,13
5/16/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,15,16466.55,1099,1097.77,6
5/16/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,1,1207.27,1249,1207.27,14
5/16/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,9,5517.09,649,613.01,15
5/16/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,17,18279.59,1099,1075.27,37
5/16/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,6859.08,1249,1143.18,2
5/16/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,20,22378.2,1199,1118.91,13
5/16/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,16,16113.28,1099,1007.08,9
5/23/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,8,5095.28,649,636.91,17
5/23/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,11,308.88,29.99,28.08,4
5/23/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,13,15924.22,1249,1224.94,14
5/23/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,15,9199.05,649,613.27,1
5/23/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,14,16634.24,1249,1188.16,1
5/23/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,10,8631,899,863.1,12
5/23/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,12,324.96,29.99,27.08,17
5/23/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,2,2485.98,1249,1242.99,15
5/23/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,9,8940.15,1099,993.35,0
5/30/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,6,6495,1099,1082.5,17
5/30/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,9,10324.17,1249,1147.13,12
5/30/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,7,8826.58,1299,1260.94,11
5/30/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,1,1191.17,1249,1191.17,19
5/30/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,1,592.06,649,592.06,5
5/30/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,10,12648.6,1299,1264.86,13
5/30/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,5,4193.75,899,838.75,17
5/30/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,13,380.9,29.99,29.3,20
5/30/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,0,0,1099,1058.83,17
6/6/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,12,12272.28,1099,1022.69,24
6/6/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,20,16858,899,842.9,8
6/6/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,4,116.12,29.99,29.03,10
6/6/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,3,82.02,29.99,27.34,4
6/6/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,5,5105.1,1099,1021.02,48
6/6/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,5,3215.45,649,643.09,17
6/6/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,17,14947.59,899,879.27,5
6/6/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,12,13945.56,1199,1162.13,14
6/6/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,17,17962.71,1099,1056.63,16
6/13/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,1,1123.05,1199,1123.05,0
6/13/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,17,10630.78,649,625.34,15
6/13/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,10,274.8,29.99,27.48,14
6/13/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,13,16342.43,1299,1257.11,16
6/13/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,17,19195.72,1249,1129.16,20
6/13/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,5,5892.6,1199,1178.52,14
6/13/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,15,16919.85,1249,1127.99,0
6/13/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,12,331.32,29.99,27.61,20
6/13/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,30,18254.4,649,608.48,33
6/20/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,8,9162.56,1249,1145.32,24
6/20/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,404.18,29.99,28.87,17
6/20/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,0,0,1199,1087.84,9
6/20/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,4,113.36,29.99,28.34,19
6/20/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,17,17869.38,1099,1051.14,33
6/20/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,16,19617.76,1299,1226.11,20
6/20/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,20,596,29.99,29.8,14
6/20/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,8,9946.32,1299,1243.29,31
6/20/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,14,15570.8,1199,1112.2,5
6/27/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,9,10288.71,1199,1143.19,2
6/27/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,21,20842.71,1099,992.51,21
6/27/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,13,7596.42,649,584.34,2
6/27/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,19,547.77,29.99,28.83,16
6/27/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,9,9797.85,1199,1088.65,14
6/27/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,11,12789.81,1249,1162.71,26
6/27/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,413.84,29.99,29.56,6
6/27/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,5,4232.5,899,846.5,7
6/27/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,5,5932.1,1199,1186.42,9
7/4/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,17,497.59,29.99,29.27,9
7/4/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,2,2359.34,1199,1179.67,14
7/4/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,11,13388.87,1299,1217.17,20
7/4/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,12,10243.8,899,853.65,3
7/4/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,17,10292.48,649,605.44,20
7/4/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,27,29278.8,1099,1084.4,23
7/4/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,5876.43,899,839.49,14
7/4/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,9,10481.22,1199,1164.58,11
7/4/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,24,14406.24,649,600.26,26
7/11/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,9,243.45,29.99,27.05,19
7/11/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,21,21266.07,1099,1012.67,19
7/11/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,14,16306.36,1199,1164.74,7
7/11/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,10,11595.4,1249,1159.54,16
7/11/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,23,25267.11,1099,1098.57,19
7/11/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,14,15381.52,1199,1098.68,16
7/11/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,9,10289.52,1199,1143.28,6
7/11/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,26,15781.48,649,606.98,12
7/11/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,13,11251.89,899,865.53,10
7/18/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,7,7892.43,1199,1127.49,14
7/18/2022,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,8,6640.88,899,830.11,6
7/18/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,10,12721.5,1299,1272.15,15
7/18/2022,204,Tablet,Apple,iPad,iPad Air,64 GB,14,8654.38,649,618.17,13
7/18/2022,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,7,7937.65,1199,1133.95,9
7/18/2022,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,16,435.52,29.99,27.22,1
7/18/2022,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,15,15856.05,1099,1057.07,2
7/18/2022,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,0,0,1249,1173.39,7
7/18/2022,202,Laptop,Dell,XPS,XPS 13,512 GB,17,20339.99,1299,1196.47,29
